IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.105.139,174,247,188,0
104.27.110.217,179,204,188,0
104.23.124.73,178,198,188,0
104.22.22.158,173,218,188,0
104.24.136.164,177,203,188,0
104.24.64.144,165,217,188,0
104.27.204.59,178,222,188,0
172.67.101.252,175,198,188,0
104.24.128.223,175,204,188,0
104.25.195.68,172,225,188,0
104.25.207.126,174,206,188,0
104.27.202.126,180,203,188,0
162.159.42.194,176,203,188,0
104.25.150.226,173,203,188,0
104.24.84.101,181,203,188,0
104.24.38.193,179,196,188,0
104.24.80.43,181,198,188,0
104.27.11.148,174,199,189,0
104.25.40.223,178,211,189,0
104.27.23.73,170,211,189,0
104.25.220.153,178,231,189,0
104.25.249.65,179,202,189,0
104.22.17.16,180,212,189,0
104.24.204.195,175,207,189,0
104.25.87.34,180,200,189,0
104.24.135.216,181,199,189,0
104.24.24.201,175,218,189,0
104.24.201.156,177,198,189,0
104.25.67.248,177,198,189,0
104.22.37.226,173,198,189,0
104.25.240.163,177,211,189,0
172.67.4.137,171,268,189,0
172.67.97.114,181,199,189,0
104.25.70.245,175,204,189,0
104.24.213.126,175,204,189,0
104.25.38.215,173,212,189,0
104.24.144.16,176,195,189,0
104.23.120.65,171,210,189,0
104.25.88.110,174,215,189,0
172.67.3.203,174,246,189,0
104.24.145.32,177,217,189,0
104.23.140.191,175,211,189,0
104.25.39.195,176,262,189,0
104.26.10.245,176,201,189,0
104.25.176.99,172,238,190,0
104.24.77.187,177,199,190,0
104.27.76.64,178,203,190,0
104.24.146.126,180,198,190,0
104.24.195.75,175,210,190,0
104.25.45.170,175,241,190,0
104.27.25.68,182,199,190,0
104.27.5.37,174,210,190,0
104.27.201.227,172,201,190,0
104.27.66.94,179,198,190,0
104.24.188.129,180,197,190,0
104.22.40.191,173,233,190,0
104.27.77.102,177,212,190,0
104.27.194.115,176,196,190,0
104.23.102.61,182,203,190,0
172.67.123.92,174,222,190,0
104.27.116.159,173,215,190,0
104.25.57.211,174,203,190,0
104.24.86.189,182,203,190,0
104.25.227.49,182,198,190,0
172.67.83.9,175,199,190,0
104.26.2.161,179,215,190,0
104.25.36.183,182,204,190,0
104.25.78.239,182,199,190,0
104.24.16.1,179,201,190,0
104.24.37.180,177,205,190,0
104.24.196.121,175,197,190,0
104.24.203.211,176,206,190,0
172.67.22.221,173,211,190,0
104.24.227.32,176,210,190,0
162.159.194.149,176,222,190,0
104.23.101.242,175,233,191,0
104.25.69.247,178,218,191,0
104.24.246.127,174,204,191,0
172.67.95.69,183,206,191,0
172.67.28.225,168,287,191,0
104.26.0.74,175,212,191,0
172.67.119.202,179,212,191,0
104.24.221.211,179,203,191,0
104.25.234.79,175,216,191,0
104.22.72.6,182,217,191,0
104.27.119.107,181,200,191,0
104.25.232.72,182,203,191,0
104.25.123.223,178,253,191,0
104.20.11.119,182,212,191,0
104.25.117.51,178,201,191,0
104.25.35.207,179,207,191,0
104.25.103.210,183,207,191,0
104.24.222.15,181,194,191,0
172.67.0.32,175,217,191,0
104.24.9.63,167,218,191,0
172.67.18.64,176,205,191,0
104.24.89.222,180,207,191,0
104.27.99.112,182,201,191,0
104.27.199.170,176,200,191,0
104.25.142.31,180,200,191,0
104.23.133.48,174,256,191,0
104.25.145.66,180,201,191,0
104.27.196.147,180,202,191,0
104.24.202.105,177,236,191,0
104.27.62.81,176,211,191,0
104.27.97.70,178,201,191,0
172.67.118.165,180,200,191,0
172.67.37.25,182,200,191,0
104.27.197.6,181,205,191,0
104.23.130.101,179,206,191,0
172.67.122.238,177,203,191,0
104.26.7.85,178,223,191,0
172.67.117.179,183,196,191,0
104.24.149.63,175,222,191,0
172.67.29.203,183,214,191,0
